a52dec 0.7.4-10
manjaro-system 20200427-1
manjaro-wallpapers-18.0 1.4-3
marktext 0.16.1-6
md4c 0.4.3-1
mdadm 4.1-2
media-player-info 24-1
memtest86+ 5.01-3
mesa 20.0.5-1
mesa-demos 8.4.0-3
mesa-vdpau 20.0.5-1
metis 5.1.0.p8-1
mhwd 0.6.4-2
mhwd-amdgpu 19.1.0-1
mhwd-ati 19.1.0-1
mhwd-db 0.6.4-10
mhwd-nvidia-340xx 340.108-1
mhwd-nvidia-390xx 390.132-1
mhwd-nvidia-418xx 418.113-1
mhwd-nvidia-430xx 430.64-1.0
mhwd-nvidia-435xx 435.21-1.0
mhwd-nvidia-440xx 440.82-1
milou 5.18.4.1-1
minizip 1:1.2.11-4
mjpegtools 2.1.0-4
mkinitcpio 27-3
mkinitcpio-busybox 1.31.1-1
mkinitcpio-openswap 0.1.0-3
mobile-broadband-provider-info 20190618-1
modemmanager 1.12.8-1
modemmanager-qt 5.69.0-1
moreutils 0.63-1
mozilla-common 1.4-5
mpfr 4.0.2-2
mpg123 1.25.13-1
mtdev 1.1.6-1
mtpfs 1.1-3
mypaint-brushes1 1.3.1-1
nano 4.9.2-1
ncdu 1.14.2-1
ncurses 6.2-1
ndctl 68-1
neon 0.31.0-1
net-snmp 5.8-4
nettle 3.5.1-2
networkmanager 1.22.10-1
networkmanager-openconnect 1.2.6-1
networkmanager-openvpn 1.8.12-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-1
networkmanager-qt 5.69.0-2
networkmanager-vpnc 1.2.7dev+20+gdca3aea-1
nfs-utils 2.4.3-2
nfsidmap 2.4.3-2
node-gyp 6.1.0-1
nodejs-lts-erbium 12.16.2-1
noto-fonts 20190926-4
noto-fonts-cjk 20190409-1
noto-fonts-compat 20151217-1
noto-fonts-emoji 20191016-6
npm 6.14.4-1
npth 1.6-2
nspr 4.25-1
nss 3.51.1-1
nss-mdns 0.14.1-2
ntfs-3g 2017.3.23-4
ntp 4.2.8.p14-1
numlockx 1.2-5
okular 20.04.0-1
oniguruma 6.9.5-1
openal 1.20.1-2
openconnect 1:8.05-1
opencore-amr 0.1.5-3
openexr 2.4.1-2
openjpeg2 2.3.1-1
openmpi 4.0.3-1
openresolv 3.10.0-1
openssh 8.2p1-3
openssl 1.1.1.g-1
openvpn 2.4.9-2
opus 1.3.1-1
orc 0.4.31-1
os-prober 1.77-1
ostree 2020.3-1
oxygen 5.18.4.1-1
oxygen-icons 1:5.69.0-1
p11-kit 0.23.20-4
p7zip 16.02-5
pacman 5.2.1-4
pacman-mirrors 4.16.4-1
pam 1.3.1-2
pamac-cli 9.4.2-1
pamac-common 9.4.2-1
pamac-gtk 9.4.2-1
pamac-snap-plugin 9.4.2-1
pamac-tray-appindicator 9.4.2-1
pambase 20190105.1-2
pandoc 2.9.2.1-22
pango 1:1.44.7+11+g73b46b04-1
pangomm 2.42.1-2
parted 3.3-1
partitionmanager3 3.3.1-1
patch 2.7.6-8
patchutils 0.3.4-3
pavucontrol 1:4.0-1
pciutils 3.6.4-1
pcre 8.44-1
pcre2 10.34-3
pcsclite 1.8.26-1
perl 5.30.2-1
perl-alien-build 2.21-1
perl-alien-libxml2 0.16-1
perl-capture-tiny 0.48-2
perl-clone 0.44-1
perl-dbi 1.643-1
perl-error 0.17029-1
perl-ffi-checklib 0.26-1
perl-file-basedir 0.08-3
perl-file-chdir 0.1011-3
perl-file-desktopentry 0.22-5
perl-file-mimeinfo 0.29-2
perl-file-which 1.23-2
perl-io-tty 1.12-9
perl-ipc-run 20180523.0-1
perl-ipc-system-simple 1.30-1
perl-mailtools 2.21-2
perl-parse-yapp 1.21-2
perl-path-tiny 0.112-1
perl-time-duration 1:1.20-3
perl-timedate 2.32-1
perl-uri 1.76-2
perl-xml-libxml 2.0204-1
perl-xml-namespacesupport 1.12-3
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-3
phonon-qt5 4.11.1-1
phonon-qt5-gstreamer 4.10.0-1
pigz 2.4-1
pinentry 1.1.0-5
pipewire 0.3.2-1
pixman 0.40.0-1
pkcs11-helper 1.26.0-1
pkgconf 1.6.3-3
plasma-desktop 5.18.4.1-1
plasma-framework 5.69.0-2
plasma-integration 5.18.4.1-1
plasma-nm 5.18.4.1-1
plasma-pa 5.18.4.1-1
plasma-workspace 5.18.4.1-2
plasma-workspace-wallpapers 5.18.4.1-1
plasma5-themes-breath 0.4.0-2
plasma5-themes-breath2 1.0.8-1
polkit 0.116-4.1
polkit-kde-agent 5.18.4.1-1
polkit-qt5 0.113.0-1
poppler 0.87.0-1
poppler-data 0.4.9-1
poppler-glib 0.87.0-1
poppler-qt5 0.87.0-1
popt 1.16-12
portaudio 1:19.6.0-6
powerdevil 5.18.4.1-1
powertop 2.11-1
ppp 2.4.7-7
pptpclient 1.10.0-2
print-manager 20.04.0-1
prison 5.69.0-1
procps-ng 3.3.16-1
protobuf 3.11.4-1
psmisc 23.3-2
pulseaudio 13.0-3
pulseaudio-alsa 2-5
pulseaudio-bluetooth 13.0-3
pulseaudio-ctl 1.67-1
pulseaudio-equalizer 13.0-3
pulseaudio-jack 13.0-3
pulseaudio-lirc 13.0-3
pulseaudio-qt 1.2-1
pulseaudio-zeroconf 13.0-3
purpose 5.69.0-1
pygobject-devel 3.36.0-2
python 3.8.2-2
python-appdirs 1.4.3-5
python-argcomplete 1.11.1-1
python-blessings 1.7-4
python-cachecontrol 0.12.6-1
python-cairo 1.19.1-1
python-chardet 3.0.4-4
python-colorama 0.4.3-1
python-configobj 5.0.6-7
python-contextlib2 0.6.0.post1-1
python-curtsies 0.3.1-1
python-dbus 1.2.16-1
python-dbus-common 1.2.16-1
python-distlib 0.3.0-1
python-distro 1.5.0-1
python-docopt 0.6.2-7
python-ewmh 0.1.6-2
python-gobject 3.36.0-2
python-greenlet 0.4.15-4
python-html5lib 1.0.1-7
python-idna 2.9-1
python-importlib-metadata 1.5.1-1
python-keyutils 0.6-4
python-lockfile 0.12.2-6
python-more-itertools 8.2.0-1
python-msgpack 1.0.0-1
python-npyscreen 4.10.5-4
python-ordered-set 3.1.1-1
python-packaging 20.3-1
python-pep517 0.8.2-1
python-pillow 6.2.1-1
python-pip 20.0.2-1
python-ply 3.11-4
python-progress 1.5-3
python-psutil 5.7.0-1
python-pyaml 20.4.0-1
python-pycups 1.9.74-3
python-pycurl 7.43.0.5-1
python-pygments 2.6.1-2
python-pyinotify 0.9.6-7
python-pyparsing 2.4.7-1
python-pyqt5 5.14.2-1
python-pyqt5-sip 12.7.2-1
python-pysmbc 1.0.20-1
python-pytoml 0.1.21-3
python-pyxdg 0.26-6
python-reportlab 3.5.42-1
python-requests 2.23.0-1
python-retrying 1.3.3-6
python-setproctitle 1.1.10-5
python-setuptools 1:46.1.3-1
python-sip 4.19.22-1
python-six 1.14.0-1
python-toml 0.10.0-3
python-urllib3 1.25.9-1
python-wcwidth 0.1.8-1
python-webencodings 0.5.1-4
python-wheel 0.34.2-2
python-xlib 0.27-1
python-xmltodict 0.12.0-4
python-yaml 5.3.1-1
python-zipp 3.1.0-1
python2 2.7.17-3
python2-cairo 1.18.2-4
python2-dbus 1.2.16-1
python2-gobject 3.36.0-2
python2-psutil 5.7.0-1
qca 2.3.0-1
qgpgme 1.13.1-3
qpdf 10.0.1-1
qqc2-desktop-style 5.69.0-1
qrencode 4.0.2-1
qt5-base 5.14.2-1
qt5-declarative 5.14.2-1
qt5-graphicaleffects 5.14.2-1
qt5-imageformats 5.14.2-1
qt5-location 5.14.2-1
qt5-multimedia 5.14.2-1
qt5-quickcontrols 5.14.2-1
qt5-quickcontrols2 5.14.2-1
qt5-script 5.14.2-1
qt5-sensors 5.14.2-1
qt5-speech 5.14.2-1
qt5-svg 5.14.2-1
qt5-tools 5.14.2-2
qt5-virtualkeyboard 5.14.2-1
qt5-wayland 5.14.2-1
qt5-webchannel 5.14.2-1
qt5-webengine 5.14.2-1
qt5-webkit 5.212.0alpha4-3
qt5-x11extras 5.14.2-1
ranger 1.9.3.4.gd8c363c9-1
raptor 2.0.15-12
rasqal 1:0.9.33-2
re2 1:20200401-1
readline 8.0.004-1
redland 1:1.0.17-7
reiserfsprogs 3.6.27-3
renameutils 0.12.0-6
rest 0.8.1-1
ripgrep 12.0.1-1
rpcbind 1.2.5-3
rsync 3.1.3-3
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-5
ruby 2.7.1-2
ruby-irb 1.2.1-1
ruby-reline 0.0.7-2
rubygems 3.1.2-4
run-parts 4.8.6.1-2
runc 1.0.0rc10-2
s-nail 14.9.18-1
samba 4.11.7-1
sane 1.0.29-1
sbc 1.4-1
screenfetch 3.9.1-1
scrot 1.2-1
sddm 0.18.1-2
sddm-breath-theme 0.4.0-2
sddm-kcm 5.18.4.1-1
sdl 1.2.15-13
sdl2 2.0.12-1
sed 4.8-1
semver 7.1.3-1
serd 0.30.2-1
serf 1.3.9-3
shaderc 2019.0-4
shadow 4.8.1-1
shared-mime-info 1.15-2
signon-kwallet-extension 20.04.0-1
signon-plugin-oauth2 0.24-2
signon-ui 0.17+20171022-2
signond 8.60-1
skanlite 2.1.0.1-1
slang 2.3.2-1
smbclient 4.11.7-1
snapd 2.44.3-1
snapd-glib 1.54-1
snappy 1.1.8-1
socat 1.7.3.4-1
solid 5.69.0-1
sonnet 5.69.0-1
sord 0.16.4-1
sound-theme-freedesktop 0.8-3
soundtouch 2.1.2-1
spandsp 0.0.6-2
spectacle 20.04.0-1
spectre-meltdown-checker 0.43-1
speex 1.2.0-2
speexdsp 1.2.0-1
spirv-tools 2020.2-1
splix 2.0.0-14
sqlite 3.31.1-1
squashfs-tools 4.4-1
sratom 0.6.4-1
srt 1.4.1-1
sshfs 3.7.0-1
startup-notification 0.12-6
steam-manjaro 1.0.0.61-7
stoken 0.92-3
subversion 1.13.0-2
sudo 1.8.31.p1-1
suitesparse 5.7.2-1
sxiv 26-1
synapse 0.2.99.4-1
syntax-highlighting 5.69.0-1
sysfsutils 2.1.0-11
system-config-printer 1.5.12+33+g23b454ef-1
systemd 244.4-1
systemd-fsck-silent 239-1
systemd-kcm 1.2.1-5
systemd-libs 244.4-1
systemd-sysvcompat 244.4-1
systemsettings 5.18.4.1-1
taglib 1.11.1-3
talloc 2.3.1-1
tar 1.32-3
tcl 8.6.10-1
tdb 1.4.3-2
telepathy-glib 0.24.1-2
terminator 1.92-2
terminus-font 4.48-1
tevent 1:0.10.2-1
texinfo 6.7-2
texlive-full 20200415-1
thin-provisioning-tools 0.8.5-3
threadweaver 5.69.0-1
thunderbird 68.7.0-1
timeshift 20.03.r0.gcecd294-1
tk 8.6.10-1
tlp 1.3.1-2
tpm2-tss 2.4.0-1
tree 1.8.0-2
tslib 1.21-1
ttf-bitstream-vera 1.10-12
ttf-droid 20121017-7.2
ttf-hack 3.003-1
ttf-inconsolata 1:3.000-2
ttf-indic-otf 0.2-9
ttf-liberation 2.1.0-1
tudu 0.10-1
twolame 0.4.0-2
tzdata 2019c-3
udiskie 2.1.1-1
udisks2 2.8.4-2
unarchiver 1.10.1-8
unoconv 0.9-1
upower 0.99.11-1
usb_modeswitch 2.6.0-2
usbmuxd 1.1.0+69+g8a69f1a-1
usbutils 012-2
user-manager 5.18.4.1-1
util-linux 2.35.1-1.1
v4l-utils 1.18.0-1
v86d 0.1.10-5.1
vi 1:070224-4
vid.stab 1.1-2
vim-misc-xolox 1.17.6-1
vim-notes 0.33.4-2
vim-runtime 8.2.0510-1
vim-voom 5.3-2
vlc 3.0.9.2-1
volume_key 0.3.12-2
vpnc 1:0.5.3.r462.r78-1
vte-common 0.60.2-1
vte3 0.60.2-1
vulkan-icd-loader 1.2.135-1
vulkan-intel 20.0.5-1
vulkan-radeon 20.0.5-1
w3m 0.5.3.git20190105-1
wallpapers-2018 1.2-1
wallpapers-juhraya 1.1-2
wavpack 5.2.0-1
wayland 1.18.0-2
wayland-protocols 1.20-1
webkit2gtk 2.28.2-1
webrtc-audio-processing 0.3.1-1
wget 1.20.3-2
which 2.21-5
wildmidi 0.4.3-1
wireless-regdb 2019.06.03-2
wl-clipboard 1:2.0.0-1
wmctrl 1.07-5
woff2 1.0.2-1
wpa_supplicant 2:2.9-7
wpebackend-fdo 1.6.0-1
x264 3:0.159.r2999.296494a-1
x265 3.3-1
xapian-core 1:1.4.15-1
xautomation 1.09-3
xcb-proto 1.14-1
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xclip 0.13-2
xdg-dbus-proxy 0.1.2-1
xdg-desktop-portal 1.7.2-1
xdg-desktop-portal-kde 5.18.4.1-1
xdg-su 1.2.3-1
xdg-user-dirs 0.17-2
xdg-utils 1.1.3+19+g9816ebb-1
xdotool 3.20160805.1-2
xf86-input-elographics 1.4.2-1
xf86-input-evdev 2.10.6-1
xf86-input-libinput 0.29.0-2
xf86-input-void 1.4.1-4
xf86-video-amdgpu 19.1.0-1
xf86-video-ati 1:19.1.0-1
xf86-video-intel 1:2.99.917+906+g846b53da-1
xf86-video-nouveau 1.0.16-1
xfce4-clipman-plugin 1.6.1-1
xfce4-panel 4.14.3-1
xfconf 4.14.1-1
xfsprogs 5.6.0-1
xinput-toggle 1.2.0-1
xkeyboard-config 2.29-1
xmlsec 1.2.30-1
xnviewmp 0.96-1
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.2-1
xorg-font-utils 7.6-5
xorg-fonts-alias 1.0.3-2
xorg-fonts-encodings 1.0.5-1
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.8-1
xorg-server-common 1.20.8-1
xorg-setxkbmap 1.3.2-1
xorg-twm 1.0.10-1
xorg-xauth 1.1-1
xorg-xdpyinfo 1.3.2-3
xorg-xinit 1.4.1-1
xorg-xinput 1.6.3-1
xorg-xkbcomp 1.4.3-1
xorg-xkill 1.0.5-1
xorg-xmessage 1.0.5-1
xorg-xmodmap 1.0.10-1
xorg-xprop 1.2.4-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorg-xwd 1.0.7-1
xorgproto 2020.1-1
xvidcore 1.3.7-1
xz 5.2.5-1
yakuake 20.04.0-1
yarn 1.22.4-1
yq 2.10.0-1
zbar 0.23-3
zeitgeist 1.0.2-4
zenity 3.32.0+17+gfb0938f-1
zeromq 4.3.2-1
zim 0.72.1-1
zita-alsa-pcmi 0.3.2-2
zita-resampler 1.6.2-2
zlib 1:1.2.11-4
zoom 3.5.383291.0407-1
zotero 5.0.85-1
zsh 5.8-1
zstd 1.4.4-1
zvbi 0.2.35-3
